run_id,checkpoint,sample_id,task,episode_or_seed,domain,c2r_split,progress_bin,layer,token_group,perturbation,severity,timestep_quantile,timestep,sigma,noise_seed,transform_seed,metric_name,metric_value,ci_high,ci_low
stage0_contrastive_bs8_fn4_001,base,aggregate,all,all,clean,,,0,condition_video,,,,,,,,linear_cka,1.0,,
stage0_contrastive_bs8_fn4_001,base,aggregate,all,all,clean,,,0,condition_video,,,,,,,,cosine_drift_mean,-1.430511474609375e-08,-1.430511474609375e-08,-1.430511474609375e-08
stage0_contrastive_bs8_fn4_001,base,aggregate,all,all,clean,,,0,condition_video,,,,,,,,cosine_drift_median,0.0,,
stage0_contrastive_bs8_fn4_001,base,aggregate,all,all,clean,,,10,condition_video,,,,,,,,linear_cka,1.0,,
stage0_contrastive_bs8_fn4_001,base,aggregate,all,all,clean,,,10,condition_video,,,,,,,,cosine_drift_mean,4.887580871582031e-08,4.887580871582031e-08,4.887580871582031e-08
stage0_contrastive_bs8_fn4_001,base,aggregate,all,all,clean,,,10,condition_video,,,,,,,,cosine_drift_median,5.960464477539063e-08,,
stage0_contrastive_bs8_fn4_001,base,aggregate,all,all,clean,,,19,condition_video,,,,,,,,linear_cka,1.0,,
stage0_contrastive_bs8_fn4_001,base,aggregate,all,all,clean,,,19,condition_video,,,,,,,,cosine_drift_mean,-3.337860107421875e-08,-3.337860107421875e-08,-3.337860107421875e-08
stage0_contrastive_bs8_fn4_001,base,aggregate,all,all,clean,,,19,condition_video,,,,,,,,cosine_drift_median,0.0,,
stage0_contrastive_bs8_fn4_001,base,aggregate,all,all,clean,,,29,condition_video,,,,,,,,linear_cka,1.0,,
stage0_contrastive_bs8_fn4_001,base,aggregate,all,all,clean,,,29,condition_video,,,,,,,,cosine_drift_mean,8.344650268554688e-09,8.344650268554688e-09,8.344650268554688e-09
stage0_contrastive_bs8_fn4_001,base,aggregate,all,all,clean,,,29,condition_video,,,,,,,,cosine_drift_median,0.0,,
stage0_contrastive_bs8_fn4_001,clean,aggregate,all,all,clean,,,0,condition_video,,,,,,,,linear_cka,0.9882184590715491,,
stage0_contrastive_bs8_fn4_001,clean,aggregate,all,all,clean,,,0,condition_video,,,,,,,,cosine_drift_mean,0.015958718061447143,0.015958718061447143,0.015958718061447143
stage0_contrastive_bs8_fn4_001,clean,aggregate,all,all,clean,,,0,condition_video,,,,,,,,cosine_drift_median,0.015949368476867676,,
stage0_contrastive_bs8_fn4_001,clean,aggregate,all,all,clean,,,10,condition_video,,,,,,,,linear_cka,0.8516613809951211,,
stage0_contrastive_bs8_fn4_001,clean,aggregate,all,all,clean,,,10,condition_video,,,,,,,,cosine_drift_mean,0.15955000042915343,0.15955000042915343,0.15955000042915343
stage0_contrastive_bs8_fn4_001,clean,aggregate,all,all,clean,,,10,condition_video,,,,,,,,cosine_drift_median,0.1490403115749359,,
stage0_contrastive_bs8_fn4_001,clean,aggregate,all,all,clean,,,19,condition_video,,,,,,,,linear_cka,0.8892270682538435,,
stage0_contrastive_bs8_fn4_001,clean,aggregate,all,all,clean,,,19,condition_video,,,,,,,,cosine_drift_mean,0.03122056007385254,0.03122056007385254,0.03122056007385254
stage0_contrastive_bs8_fn4_001,clean,aggregate,all,all,clean,,,19,condition_video,,,,,,,,cosine_drift_median,0.03104764223098755,,
stage0_contrastive_bs8_fn4_001,clean,aggregate,all,all,clean,,,29,condition_video,,,,,,,,linear_cka,0.9808100444875761,,
stage0_contrastive_bs8_fn4_001,clean,aggregate,all,all,clean,,,29,condition_video,,,,,,,,cosine_drift_mean,0.016444985866546632,0.016444985866546632,0.016444985866546632
stage0_contrastive_bs8_fn4_001,clean,aggregate,all,all,clean,,,29,condition_video,,,,,,,,cosine_drift_median,0.016315728425979614,,
stage0_contrastive_bs8_fn4_001,contrastive,aggregate,all,all,clean,,,0,condition_video,,,,,,,,linear_cka,0.991424149098637,,
stage0_contrastive_bs8_fn4_001,contrastive,aggregate,all,all,clean,,,0,condition_video,,,,,,,,cosine_drift_mean,0.020619101524353027,0.020619101524353027,0.020619101524353027
stage0_contrastive_bs8_fn4_001,contrastive,aggregate,all,all,clean,,,0,condition_video,,,,,,,,cosine_drift_median,0.02065005898475647,,
stage0_contrastive_bs8_fn4_001,contrastive,aggregate,all,all,clean,,,10,condition_video,,,,,,,,linear_cka,0.8532902056120234,,
stage0_contrastive_bs8_fn4_001,contrastive,aggregate,all,all,clean,,,10,condition_video,,,,,,,,cosine_drift_mean,0.15706474781036378,0.15706474781036378,0.15706474781036378
stage0_contrastive_bs8_fn4_001,contrastive,aggregate,all,all,clean,,,10,condition_video,,,,,,,,cosine_drift_median,0.14731115102767944,,
stage0_contrastive_bs8_fn4_001,contrastive,aggregate,all,all,clean,,,19,condition_video,,,,,,,,linear_cka,0.8581461374799138,,
stage0_contrastive_bs8_fn4_001,contrastive,aggregate,all,all,clean,,,19,condition_video,,,,,,,,cosine_drift_mean,0.03937546253204346,0.03937546253204346,0.03937546253204346
stage0_contrastive_bs8_fn4_001,contrastive,aggregate,all,all,clean,,,19,condition_video,,,,,,,,cosine_drift_median,0.03904774785041809,,
stage0_contrastive_bs8_fn4_001,contrastive,aggregate,all,all,clean,,,29,condition_video,,,,,,,,linear_cka,0.4092972349337117,,
stage0_contrastive_bs8_fn4_001,contrastive,aggregate,all,all,clean,,,29,condition_video,,,,,,,,cosine_drift_mean,0.053387632369995115,0.053387632369995115,0.053387632369995115
stage0_contrastive_bs8_fn4_001,contrastive,aggregate,all,all,clean,,,29,condition_video,,,,,,,,cosine_drift_median,0.04902905225753784,,
